2023-05-22 18:45: Experiment log path in: C:\Users\Jesse\Desktop\´ð±ç\Traffic_models\TARGCN_db\model\experiments\PEMS03\20230522184510
2023-05-22 18:47: Train Epoch 1: 220/490 Loss: 19.670925
2023-05-22 18:47: Train Epoch 1: 240/490 Loss: 20.012486
2023-05-22 18:48: Train Epoch 1: 260/490 Loss: 18.559464
2023-05-22 18:48: Train Epoch 1: 280/490 Loss: 20.933243
2023-05-22 18:48: Train Epoch 1: 300/490 Loss: 18.852455
2023-05-22 18:48: Train Epoch 1: 320/490 Loss: 19.448526
2023-05-22 18:48: Train Epoch 1: 340/490 Loss: 20.594791
2023-05-22 18:48: Train Epoch 1: 360/490 Loss: 22.232605
2023-05-22 18:48: Train Epoch 1: 380/490 Loss: 19.926516
2023-05-22 18:48: Train Epoch 1: 400/490 Loss: 17.075859
2023-05-22 18:48: Train Epoch 1: 420/490 Loss: 20.274870
2023-05-22 18:48: Train Epoch 1: 440/490 Loss: 22.750879
2023-05-22 18:48: Train Epoch 1: 460/490 Loss: 20.516237
2023-05-22 18:48: Train Epoch 1: 480/490 Loss: 19.054150
2023-05-22 18:48: **********Train Epoch 1: averaged Loss: 20.760994, tf_ratio: 1.000000
2023-05-22 18:49: **********Val Epoch 1: average Loss: 19.792689
2023-05-22 18:49: ******Current best model saved:model_para/PEMS03/epoch_1.pth!
2023-05-22 18:49: Train Epoch 2: 0/490 Loss: 20.213284
2023-05-22 18:49: Train Epoch 2: 20/490 Loss: 20.081125
2023-05-22 18:49: Train Epoch 2: 40/490 Loss: 17.442858
2023-05-22 18:49: Train Epoch 2: 60/490 Loss: 23.776459
2023-05-22 18:49: Train Epoch 2: 80/490 Loss: 20.613747
2023-05-22 18:49: Train Epoch 2: 100/490 Loss: 20.950253
2023-05-22 18:49: Train Epoch 2: 120/490 Loss: 20.245607
2023-05-22 18:49: Train Epoch 2: 140/490 Loss: 19.802814
2023-05-22 18:49: Train Epoch 2: 160/490 Loss: 20.295313
2023-05-22 18:49: Train Epoch 2: 180/490 Loss: 18.397940
2023-05-22 18:49: Train Epoch 2: 200/490 Loss: 19.303942
2023-05-22 18:49: Train Epoch 2: 220/490 Loss: 20.229910
2023-05-22 18:49: Train Epoch 2: 240/490 Loss: 19.532978
2023-05-22 18:50: Train Epoch 2: 260/490 Loss: 18.515884
2023-05-22 18:50: Train Epoch 2: 280/490 Loss: 20.362474
2023-05-22 18:50: Train Epoch 2: 300/490 Loss: 18.611298
2023-05-22 18:50: Train Epoch 2: 320/490 Loss: 17.866463
2023-05-22 18:50: Train Epoch 2: 340/490 Loss: 17.827717
2023-05-22 18:50: Train Epoch 2: 360/490 Loss: 18.079708
2023-05-22 18:50: Train Epoch 2: 380/490 Loss: 19.222210
2023-05-22 18:50: Train Epoch 2: 400/490 Loss: 19.646532
2023-05-22 18:50: Train Epoch 2: 420/490 Loss: 18.879374
2023-05-22 18:50: Train Epoch 2: 440/490 Loss: 19.421259
2023-05-22 18:50: Train Epoch 2: 460/490 Loss: 19.184179
2023-05-22 18:50: Train Epoch 2: 480/490 Loss: 17.353558
2023-05-22 18:50: **********Train Epoch 2: averaged Loss: 19.113261, tf_ratio: 1.000000
2023-05-22 18:51: **********Val Epoch 2: average Loss: 20.371169
2023-05-22 18:51: Train Epoch 3: 0/490 Loss: 22.281832
2023-05-22 18:51: Train Epoch 3: 20/490 Loss: 18.608477
2023-05-22 18:51: Train Epoch 3: 40/490 Loss: 16.570822
2023-05-22 18:51: Train Epoch 3: 60/490 Loss: 15.551210
2023-05-22 18:51: Train Epoch 3: 80/490 Loss: 17.072117
2023-05-22 18:51: Train Epoch 3: 100/490 Loss: 16.848400
2023-05-22 18:51: Train Epoch 3: 120/490 Loss: 16.968901
2023-05-22 18:51: Train Epoch 3: 140/490 Loss: 17.392807
2023-05-22 18:51: Train Epoch 3: 160/490 Loss: 18.314877
2023-05-22 18:51: Train Epoch 3: 180/490 Loss: 17.883139
2023-05-22 18:51: Train Epoch 3: 200/490 Loss: 18.829100
2023-05-22 18:51: Train Epoch 3: 220/490 Loss: 17.069849
2023-05-22 18:51: Train Epoch 3: 240/490 Loss: 16.276587
2023-05-22 18:51: Train Epoch 3: 260/490 Loss: 17.532162
2023-05-22 18:52: Train Epoch 3: 280/490 Loss: 17.214985
2023-05-22 18:52: Train Epoch 3: 300/490 Loss: 17.277254
2023-05-22 18:52: Train Epoch 3: 320/490 Loss: 18.994970
2023-05-22 18:52: Train Epoch 3: 340/490 Loss: 15.944158
2023-05-22 18:52: Train Epoch 3: 360/490 Loss: 16.603615
2023-05-22 18:52: Train Epoch 3: 380/490 Loss: 16.955282
2023-05-22 18:52: Train Epoch 3: 400/490 Loss: 17.041889
2023-05-22 18:52: Train Epoch 3: 420/490 Loss: 17.699778
2023-05-22 18:52: Train Epoch 3: 440/490 Loss: 18.967865
2023-05-22 18:52: Train Epoch 3: 460/490 Loss: 16.241247
2023-05-22 18:52: Train Epoch 3: 480/490 Loss: 13.768078
2023-05-22 18:52: **********Train Epoch 3: averaged Loss: 17.514504, tf_ratio: 1.000000
2023-05-22 18:52: **********Val Epoch 3: average Loss: 16.491018
2023-05-22 18:52: ******Current best model saved:model_para/PEMS03/epoch_3.pth!
2023-05-22 18:52: Train Epoch 4: 0/490 Loss: 17.052464
2023-05-22 18:53: Train Epoch 4: 20/490 Loss: 16.776304
2023-05-22 18:53: Train Epoch 4: 40/490 Loss: 16.859982
2023-05-22 18:53: Train Epoch 4: 60/490 Loss: 16.671312
2023-05-22 18:53: Train Epoch 4: 80/490 Loss: 17.824022
2023-05-22 18:53: Train Epoch 4: 100/490 Loss: 17.901001
2023-05-22 18:53: Train Epoch 4: 120/490 Loss: 17.776167
2023-05-22 18:53: Train Epoch 4: 140/490 Loss: 15.385451
2023-05-22 18:53: Train Epoch 4: 160/490 Loss: 17.756517
2023-05-22 18:53: Train Epoch 4: 180/490 Loss: 16.420214
2023-05-22 18:53: Train Epoch 4: 200/490 Loss: 17.019093
2023-05-22 18:53: Train Epoch 4: 220/490 Loss: 17.086708
2023-05-22 18:53: Train Epoch 4: 240/490 Loss: 16.171944
2023-05-22 18:53: Train Epoch 4: 260/490 Loss: 18.467445
2023-05-22 18:53: Train Epoch 4: 280/490 Loss: 16.845028
2023-05-22 18:54: Train Epoch 4: 300/490 Loss: 17.568640
2023-05-22 18:54: Train Epoch 4: 320/490 Loss: 15.209682
2023-05-22 18:54: Train Epoch 4: 340/490 Loss: 14.757867
2023-05-22 18:54: Train Epoch 4: 360/490 Loss: 15.284783
2023-05-22 18:54: Train Epoch 4: 380/490 Loss: 15.810105
2023-05-22 18:54: Train Epoch 4: 400/490 Loss: 16.329752
2023-05-22 18:54: Train Epoch 4: 420/490 Loss: 14.171381
2023-05-22 18:54: Train Epoch 4: 440/490 Loss: 16.660835
2023-05-22 18:54: Train Epoch 4: 460/490 Loss: 16.447098
2023-05-22 18:54: Train Epoch 4: 480/490 Loss: 16.158150
2023-05-22 18:54: **********Train Epoch 4: averaged Loss: 16.347848, tf_ratio: 1.000000
2023-05-22 18:54: **********Val Epoch 4: average Loss: 16.409570
2023-05-22 18:54: ******Current best model saved:model_para/PEMS03/epoch_4.pth!
2023-05-22 18:54: Train Epoch 5: 0/490 Loss: 16.409790
2023-05-22 18:54: Train Epoch 5: 20/490 Loss: 14.505248
2023-05-22 18:55: Train Epoch 5: 40/490 Loss: 17.217726
2023-05-22 18:55: Train Epoch 5: 60/490 Loss: 15.958521
2023-05-22 18:55: Train Epoch 5: 80/490 Loss: 14.456892
2023-05-22 18:55: Train Epoch 5: 100/490 Loss: 15.222641
2023-05-22 18:55: Train Epoch 5: 120/490 Loss: 14.442950
2023-05-22 18:55: Train Epoch 5: 140/490 Loss: 14.076957
2023-05-22 18:55: Train Epoch 5: 160/490 Loss: 16.184906
2023-05-22 18:55: Train Epoch 5: 180/490 Loss: 16.783072
2023-05-22 18:55: Train Epoch 5: 200/490 Loss: 16.582355
2023-05-22 18:55: Train Epoch 5: 220/490 Loss: 18.101110
2023-05-22 18:55: Train Epoch 5: 240/490 Loss: 16.500862
2023-05-22 18:55: Train Epoch 5: 260/490 Loss: 15.207734
2023-05-22 18:55: Train Epoch 5: 280/490 Loss: 16.106672
2023-05-22 18:55: Train Epoch 5: 300/490 Loss: 15.315766
2023-05-22 18:56: Train Epoch 5: 320/490 Loss: 15.366937
2023-05-22 18:56: Train Epoch 5: 340/490 Loss: 15.824694
2023-05-22 18:56: Train Epoch 5: 360/490 Loss: 17.136389
2023-05-22 18:56: Train Epoch 5: 380/490 Loss: 15.302927
2023-05-22 18:56: Train Epoch 5: 400/490 Loss: 13.288765
2023-05-22 18:56: Train Epoch 5: 420/490 Loss: 15.702172
2023-05-22 18:56: Train Epoch 5: 440/490 Loss: 16.607655
2023-05-22 18:56: Train Epoch 5: 460/490 Loss: 14.978271
2023-05-22 18:56: Train Epoch 5: 480/490 Loss: 16.786255
2023-05-22 18:56: **********Train Epoch 5: averaged Loss: 15.780196, tf_ratio: 1.000000
2023-05-22 18:56: **********Val Epoch 5: average Loss: 15.820843
2023-05-22 18:56: ******Current best model saved:model_para/PEMS03/epoch_5.pth!
2023-05-22 18:56: Train Epoch 6: 0/490 Loss: 15.720205
2023-05-22 18:56: Train Epoch 6: 20/490 Loss: 15.487020
2023-05-22 18:56: Train Epoch 6: 40/490 Loss: 15.108159
2023-05-22 18:57: Train Epoch 6: 60/490 Loss: 18.219633
2023-05-22 18:57: Train Epoch 6: 80/490 Loss: 13.469881
2023-05-22 18:57: Train Epoch 6: 100/490 Loss: 17.714283
2023-05-22 18:57: Train Epoch 6: 120/490 Loss: 14.792833
2023-05-22 18:57: Train Epoch 6: 140/490 Loss: 15.181185
2023-05-22 18:57: Train Epoch 6: 160/490 Loss: 17.731775
2023-05-22 18:57: Train Epoch 6: 180/490 Loss: 16.231670
2023-05-22 18:57: Train Epoch 6: 200/490 Loss: 14.574247
2023-05-22 18:57: Train Epoch 6: 220/490 Loss: 15.285956
2023-05-22 18:57: Train Epoch 6: 240/490 Loss: 13.665628
2023-05-22 18:57: Train Epoch 6: 260/490 Loss: 14.994654
2023-05-22 18:57: Train Epoch 6: 280/490 Loss: 16.269394
2023-05-22 18:57: Train Epoch 6: 300/490 Loss: 16.585453
2023-05-22 18:57: Train Epoch 6: 320/490 Loss: 15.502346
2023-05-22 18:58: Train Epoch 6: 340/490 Loss: 13.911582
2023-05-22 18:58: Train Epoch 6: 360/490 Loss: 15.636990
2023-05-22 18:58: Train Epoch 6: 380/490 Loss: 14.704039
2023-05-22 18:58: Train Epoch 6: 400/490 Loss: 15.771625
2023-05-22 18:58: Train Epoch 6: 420/490 Loss: 15.283590
2023-05-22 18:58: Train Epoch 6: 440/490 Loss: 14.893783
2023-05-22 18:58: Train Epoch 6: 460/490 Loss: 15.398750
2023-05-22 18:58: Train Epoch 6: 480/490 Loss: 16.046667
2023-05-22 18:58: **********Train Epoch 6: averaged Loss: 15.455382, tf_ratio: 1.000000
2023-05-22 18:58: **********Val Epoch 6: average Loss: 15.797796
2023-05-22 18:58: ******Current best model saved:model_para/PEMS03/epoch_6.pth!
2023-05-22 18:58: Train Epoch 7: 0/490 Loss: 16.331285
2023-05-22 18:58: Train Epoch 7: 20/490 Loss: 15.529264
2023-05-22 18:58: Train Epoch 7: 40/490 Loss: 16.215487
2023-05-22 18:58: Train Epoch 7: 60/490 Loss: 16.139620
2023-05-22 18:59: Train Epoch 7: 80/490 Loss: 14.862056
2023-05-22 18:59: Train Epoch 7: 100/490 Loss: 15.844251
2023-05-22 18:59: Train Epoch 7: 120/490 Loss: 14.780704
2023-05-22 18:59: Train Epoch 7: 140/490 Loss: 14.986095
2023-05-22 18:59: Train Epoch 7: 160/490 Loss: 14.981274
2023-05-22 18:59: Train Epoch 7: 180/490 Loss: 13.384528
2023-05-22 18:59: Train Epoch 7: 200/490 Loss: 14.863131
2023-05-22 18:59: Train Epoch 7: 220/490 Loss: 15.557859
2023-05-22 18:59: Train Epoch 7: 240/490 Loss: 15.095630
2023-05-22 18:59: Train Epoch 7: 260/490 Loss: 13.633947
2023-05-22 18:59: Train Epoch 7: 280/490 Loss: 15.654335
2023-05-22 18:59: Train Epoch 7: 300/490 Loss: 14.140121
2023-05-22 18:59: Train Epoch 7: 320/490 Loss: 15.946030
2023-05-22 18:59: Train Epoch 7: 340/490 Loss: 16.031122
2023-05-22 19:00: Train Epoch 7: 360/490 Loss: 13.550094
2023-05-22 19:00: Train Epoch 7: 380/490 Loss: 15.062953
2023-05-22 19:00: Train Epoch 7: 400/490 Loss: 15.095469
2023-05-22 19:00: Train Epoch 7: 420/490 Loss: 16.148773
2023-05-22 19:00: Train Epoch 7: 440/490 Loss: 13.660820
2023-05-22 19:00: Train Epoch 7: 460/490 Loss: 15.882796
2023-05-22 19:00: Train Epoch 7: 480/490 Loss: 16.950401
2023-05-22 19:00: **********Train Epoch 7: averaged Loss: 15.243898, tf_ratio: 1.000000
2023-05-22 19:00: **********Val Epoch 7: average Loss: 15.520705
2023-05-22 19:00: ******Current best model saved:model_para/PEMS03/epoch_7.pth!
2023-05-22 19:00: Train Epoch 8: 0/490 Loss: 14.081936
2023-05-22 19:00: Train Epoch 8: 20/490 Loss: 13.306451
2023-05-22 19:00: Train Epoch 8: 40/490 Loss: 16.521320
2023-05-22 19:00: Train Epoch 8: 60/490 Loss: 14.344463
2023-05-22 19:00: Train Epoch 8: 80/490 Loss: 14.624670
2023-05-22 19:01: Train Epoch 8: 100/490 Loss: 14.710882
2023-05-22 19:01: Train Epoch 8: 120/490 Loss: 15.298573
2023-05-22 19:01: Train Epoch 8: 140/490 Loss: 15.864196
2023-05-22 19:01: Train Epoch 8: 160/490 Loss: 14.122595
2023-05-22 19:01: Train Epoch 8: 180/490 Loss: 15.614103
2023-05-22 19:01: Train Epoch 8: 200/490 Loss: 14.886281
2023-05-22 19:01: Train Epoch 8: 220/490 Loss: 13.100387
2023-05-22 19:01: Train Epoch 8: 240/490 Loss: 16.541592
2023-05-22 19:01: Train Epoch 8: 260/490 Loss: 15.186149
2023-05-22 19:01: Train Epoch 8: 280/490 Loss: 17.407187
2023-05-22 19:01: Train Epoch 8: 300/490 Loss: 13.167314
2023-05-22 19:01: Train Epoch 8: 320/490 Loss: 14.618671
2023-05-22 19:01: Train Epoch 8: 340/490 Loss: 14.876734
2023-05-22 19:01: Train Epoch 8: 360/490 Loss: 16.405363
2023-05-22 19:02: Train Epoch 8: 380/490 Loss: 16.062149
2023-05-22 19:02: Train Epoch 8: 400/490 Loss: 15.209666
2023-05-22 19:02: Train Epoch 8: 420/490 Loss: 16.558338
2023-05-22 19:02: Train Epoch 8: 440/490 Loss: 14.997487
2023-05-22 19:02: Train Epoch 8: 460/490 Loss: 13.637506
2023-05-22 19:02: Train Epoch 8: 480/490 Loss: 14.556858
2023-05-22 19:02: **********Train Epoch 8: averaged Loss: 15.044261, tf_ratio: 1.000000
2023-05-22 19:02: **********Val Epoch 8: average Loss: 15.408485
2023-05-22 19:02: ******Current best model saved:model_para/PEMS03/epoch_8.pth!
2023-05-22 19:02: Train Epoch 9: 0/490 Loss: 13.211048
2023-05-22 19:02: Train Epoch 9: 20/490 Loss: 14.610608
2023-05-22 19:02: Train Epoch 9: 40/490 Loss: 15.420140
2023-05-22 19:02: Train Epoch 9: 60/490 Loss: 14.606202
2023-05-22 19:02: Train Epoch 9: 80/490 Loss: 15.628986
2023-05-22 19:02: Train Epoch 9: 100/490 Loss: 17.176308
2023-05-22 19:03: Train Epoch 9: 120/490 Loss: 16.147558
2023-05-22 19:03: Train Epoch 9: 140/490 Loss: 14.119810
2023-05-22 19:03: Train Epoch 9: 160/490 Loss: 14.829004
2023-05-22 19:03: Train Epoch 9: 180/490 Loss: 14.378408
2023-05-22 19:03: Train Epoch 9: 200/490 Loss: 15.727198
2023-05-22 19:03: Train Epoch 9: 220/490 Loss: 14.716513
2023-05-22 19:03: Train Epoch 9: 240/490 Loss: 16.606310
2023-05-22 19:03: Train Epoch 9: 260/490 Loss: 14.742333
2023-05-22 19:03: Train Epoch 9: 280/490 Loss: 16.289963
2023-05-22 19:03: Train Epoch 9: 300/490 Loss: 15.421137
2023-05-22 19:03: Train Epoch 9: 320/490 Loss: 15.801214
2023-05-22 19:03: Train Epoch 9: 340/490 Loss: 14.499488
2023-05-22 19:03: Train Epoch 9: 360/490 Loss: 13.428379
2023-05-22 19:03: Train Epoch 9: 380/490 Loss: 14.566498
2023-05-22 19:04: Train Epoch 9: 400/490 Loss: 13.247439
2023-05-22 19:04: Train Epoch 9: 420/490 Loss: 15.462933
2023-05-22 19:04: Train Epoch 9: 440/490 Loss: 15.645112
2023-05-22 19:04: Train Epoch 9: 460/490 Loss: 14.937154
2023-05-22 19:04: Train Epoch 9: 480/490 Loss: 13.879119
2023-05-22 19:04: **********Train Epoch 9: averaged Loss: 14.818885, tf_ratio: 1.000000
2023-05-22 19:04: **********Val Epoch 9: average Loss: 15.417414
2023-05-22 19:04: Train Epoch 10: 0/490 Loss: 15.492863
2023-05-22 19:04: Train Epoch 10: 20/490 Loss: 15.173256
2023-05-22 19:04: Train Epoch 10: 40/490 Loss: 14.878520
2023-05-22 19:04: Train Epoch 10: 60/490 Loss: 15.634250
2023-05-22 19:04: Train Epoch 10: 80/490 Loss: 15.014318
2023-05-22 19:04: Train Epoch 10: 100/490 Loss: 15.511899
2023-05-22 19:04: Train Epoch 10: 120/490 Loss: 14.690489
2023-05-22 19:05: Train Epoch 10: 140/490 Loss: 14.595992
2023-05-22 19:05: Train Epoch 10: 160/490 Loss: 15.042357
2023-05-22 19:05: Train Epoch 10: 180/490 Loss: 15.152740
2023-05-22 19:05: Train Epoch 10: 200/490 Loss: 14.158158
2023-05-22 19:05: Train Epoch 10: 220/490 Loss: 14.745274
2023-05-22 19:05: Train Epoch 10: 240/490 Loss: 15.704988
2023-05-22 19:05: Train Epoch 10: 260/490 Loss: 13.604349
2023-05-22 19:05: Train Epoch 10: 280/490 Loss: 14.100183
2023-05-22 19:05: Train Epoch 10: 300/490 Loss: 14.300205
2023-05-22 19:05: Train Epoch 10: 320/490 Loss: 14.354407
2023-05-22 19:05: Train Epoch 10: 340/490 Loss: 16.064154
2023-05-22 19:05: Train Epoch 10: 360/490 Loss: 14.489231
2023-05-22 19:05: Train Epoch 10: 380/490 Loss: 14.391923
2023-05-22 19:05: Train Epoch 10: 400/490 Loss: 13.983216
2023-05-22 19:06: Train Epoch 10: 420/490 Loss: 14.537915
2023-05-22 19:06: Train Epoch 10: 440/490 Loss: 15.415952
2023-05-22 19:06: Train Epoch 10: 460/490 Loss: 14.796803
2023-05-22 19:06: Train Epoch 10: 480/490 Loss: 15.132933
2023-05-22 19:06: **********Train Epoch 10: averaged Loss: 14.673593, tf_ratio: 1.000000
2023-05-22 19:06: **********Val Epoch 10: average Loss: 15.142346
2023-05-22 19:06: ******Current best model saved:model_para/PEMS03/epoch_10.pth!
2023-05-22 19:06: Train Epoch 11: 0/490 Loss: 13.794102
2023-05-22 19:06: Train Epoch 11: 20/490 Loss: 15.537677
2023-05-22 19:06: Train Epoch 11: 40/490 Loss: 15.828091
2023-05-22 19:06: Train Epoch 11: 60/490 Loss: 14.569301
2023-05-22 19:06: Train Epoch 11: 80/490 Loss: 13.643355
2023-05-22 19:06: Train Epoch 11: 100/490 Loss: 15.877352
2023-05-22 19:06: Train Epoch 11: 120/490 Loss: 15.822536
2023-05-22 19:06: Train Epoch 11: 140/490 Loss: 14.823336
2023-05-22 19:07: Train Epoch 11: 160/490 Loss: 14.514579
2023-05-22 19:07: Train Epoch 11: 180/490 Loss: 14.778881
2023-05-22 19:07: Train Epoch 11: 200/490 Loss: 14.252448
2023-05-22 19:07: Train Epoch 11: 220/490 Loss: 13.845997
2023-05-22 19:07: Train Epoch 11: 240/490 Loss: 15.241851
2023-05-22 19:07: Train Epoch 11: 260/490 Loss: 14.805913
2023-05-22 19:07: Train Epoch 11: 280/490 Loss: 14.812076
2023-05-22 19:07: Train Epoch 11: 300/490 Loss: 14.313533
2023-05-22 19:07: Train Epoch 11: 320/490 Loss: 13.336423
2023-05-22 19:07: Train Epoch 11: 340/490 Loss: 15.088838
2023-05-22 19:07: Train Epoch 11: 360/490 Loss: 15.319982
2023-05-22 19:07: Train Epoch 11: 380/490 Loss: 13.871963
2023-05-22 19:07: Train Epoch 11: 400/490 Loss: 14.321666
2023-05-22 19:07: Train Epoch 11: 420/490 Loss: 14.661947
2023-05-22 19:08: Train Epoch 11: 440/490 Loss: 14.241698
2023-05-22 19:08: Train Epoch 11: 460/490 Loss: 13.383168
2023-05-22 19:08: Train Epoch 11: 480/490 Loss: 14.010825
2023-05-22 19:08: **********Train Epoch 11: averaged Loss: 14.595437, tf_ratio: 1.000000
2023-05-22 19:08: **********Val Epoch 11: average Loss: 15.602231
2023-05-22 19:08: Train Epoch 12: 0/490 Loss: 15.529281
2023-05-22 19:08: Train Epoch 12: 20/490 Loss: 14.512772
2023-05-22 19:08: Train Epoch 12: 40/490 Loss: 13.082737
2023-05-22 19:08: Train Epoch 12: 60/490 Loss: 12.742314
2023-05-22 19:08: Train Epoch 12: 80/490 Loss: 13.579110
2023-05-22 19:08: Train Epoch 12: 100/490 Loss: 12.837914
2023-05-22 19:08: Train Epoch 12: 120/490 Loss: 14.971383
2023-05-22 19:08: Train Epoch 12: 140/490 Loss: 13.946706
2023-05-22 19:09: Train Epoch 12: 160/490 Loss: 15.077274
2023-05-22 19:09: Train Epoch 12: 180/490 Loss: 14.531869
2023-05-22 19:09: Train Epoch 12: 200/490 Loss: 12.973367
2023-05-22 19:09: Train Epoch 12: 220/490 Loss: 15.775124
2023-05-22 19:09: Train Epoch 12: 240/490 Loss: 13.345467
2023-05-22 19:09: Train Epoch 12: 260/490 Loss: 13.256487
2023-05-22 19:09: Train Epoch 12: 280/490 Loss: 12.580758
2023-05-22 19:09: Train Epoch 12: 300/490 Loss: 13.958860
2023-05-22 19:09: Train Epoch 12: 320/490 Loss: 15.531719
2023-05-22 19:09: Train Epoch 12: 340/490 Loss: 15.161919
2023-05-22 19:09: Train Epoch 12: 360/490 Loss: 14.507533
2023-05-22 19:09: Train Epoch 12: 380/490 Loss: 15.788643
2023-05-22 19:09: Train Epoch 12: 400/490 Loss: 13.429203
2023-05-22 19:09: Train Epoch 12: 420/490 Loss: 13.107201
2023-05-22 19:09: Train Epoch 12: 440/490 Loss: 13.782475
2023-05-22 19:10: Train Epoch 12: 460/490 Loss: 15.334965
2023-05-22 19:10: Train Epoch 12: 480/490 Loss: 14.674088
2023-05-22 19:10: **********Train Epoch 12: averaged Loss: 14.426540, tf_ratio: 1.000000
2023-05-22 19:10: **********Val Epoch 12: average Loss: 14.915463
2023-05-22 19:10: ******Current best model saved:model_para/PEMS03/epoch_12.pth!
2023-05-22 19:10: Train Epoch 13: 0/490 Loss: 13.304371
2023-05-22 19:10: Train Epoch 13: 20/490 Loss: 13.698239
2023-05-22 19:10: Train Epoch 13: 40/490 Loss: 13.135713
2023-05-22 19:10: Train Epoch 13: 60/490 Loss: 13.269138
2023-05-22 19:10: Train Epoch 13: 80/490 Loss: 14.515235
2023-05-22 19:10: Train Epoch 13: 100/490 Loss: 12.887025
2023-05-22 19:10: Train Epoch 13: 120/490 Loss: 14.227814
2023-05-22 19:10: Train Epoch 13: 140/490 Loss: 12.945025
2023-05-22 19:10: Train Epoch 13: 160/490 Loss: 12.078432
2023-05-22 19:11: Train Epoch 13: 180/490 Loss: 14.681837
2023-05-22 19:11: Train Epoch 13: 200/490 Loss: 15.513778
2023-05-22 19:11: Train Epoch 13: 220/490 Loss: 14.139314
2023-05-22 19:11: Train Epoch 13: 240/490 Loss: 15.944798
2023-05-22 19:11: Train Epoch 13: 260/490 Loss: 13.462792
2023-05-22 19:11: Train Epoch 13: 280/490 Loss: 13.648288
2023-05-22 19:11: Train Epoch 13: 300/490 Loss: 14.959277
2023-05-22 19:11: Train Epoch 13: 320/490 Loss: 14.356140
2023-05-22 19:11: Train Epoch 13: 340/490 Loss: 13.117438
2023-05-22 19:11: Train Epoch 13: 360/490 Loss: 13.463265
2023-05-22 19:11: Train Epoch 13: 380/490 Loss: 14.051606
2023-05-22 19:11: Train Epoch 13: 400/490 Loss: 14.187809
2023-05-22 19:11: Train Epoch 13: 420/490 Loss: 14.106442
2023-05-22 19:11: Train Epoch 13: 440/490 Loss: 14.950681
2023-05-22 19:12: Train Epoch 13: 460/490 Loss: 14.726598
2023-05-22 19:12: Train Epoch 13: 480/490 Loss: 14.443487
2023-05-22 19:12: **********Train Epoch 13: averaged Loss: 14.284376, tf_ratio: 1.000000
2023-05-22 19:12: **********Val Epoch 13: average Loss: 14.782635
2023-05-22 19:12: ******Current best model saved:model_para/PEMS03/epoch_13.pth!
